
> vite@0.0.0 dev
> vite dev --host 0.0.0.0 --port 3000


  VITE v6.2.5  ready in 362 ms

  ➜  Local:   http://localhost:3000/
  ➜  Network: http://172.17.0.2:3000/
9:45:06 AM [vite] vite.config.js changed, restarting server...
9:45:06 AM [vite] server restarted.
9:45:07 AM [vite] (client) page reload index.html
9:45:08 AM [vite] (client) page reload index.html
9:45:11 AM [vite] (client) page reload index.html
9:45:11 AM [vite] (client) page reload index.html
9:45:17 AM [vite] (client) page reload index.html
9:45:17 AM [vite] (client) page reload index.html
9:45:23 AM [vite] (client) page reload index.html
9:45:23 AM [vite] (client) page reload index.html
9:45:30 AM [vite] (client) page reload index.html
9:45:30 AM [vite] (client) page reload index.html
9:45:36 AM [vite] (client) page reload index.html
9:45:36 AM [vite] (client) page reload index.html
9:45:42 AM [vite] (client) page reload index.html
9:45:42 AM [vite] (client) page reload index.html
9:45:48 AM [vite] (client) page reload index.html
9:45:48 AM [vite] (client) page reload index.html
9:45:54 AM [vite] (client) page reload index.html
9:45:54 AM [vite] (client) page reload index.html
9:46:00 AM [vite] (client) page reload index.html
9:46:00 AM [vite] (client) page reload index.html
9:46:07 AM [vite] (client) page reload index.html
9:46:07 AM [vite] (client) page reload index.html
9:46:13 AM [vite] (client) page reload index.html
9:46:13 AM [vite] (client) page reload index.html
9:46:19 AM [vite] (client) page reload index.html
9:46:19 AM [vite] (client) page reload index.html
9:46:25 AM [vite] (client) page reload index.html
9:46:25 AM [vite] (client) page reload index.html
9:46:31 AM [vite] (client) page reload index.html
9:46:31 AM [vite] (client) page reload index.html
9:46:37 AM [vite] (client) page reload index.html
9:46:37 AM [vite] (client) page reload index.html
9:46:44 AM [vite] (client) page reload index.html
9:46:44 AM [vite] (client) page reload index.html
9:46:50 AM [vite] (client) page reload index.html
9:46:50 AM [vite] (client) page reload index.html
9:46:56 AM [vite] (client) page reload index.html
9:46:56 AM [vite] (client) page reload index.html
9:47:02 AM [vite] (client) page reload index.html
9:47:02 AM [vite] (client) page reload index.html
9:47:08 AM [vite] (client) page reload index.html
9:47:08 AM [vite] (client) page reload index.html
9:47:14 AM [vite] (client) page reload index.html
9:47:15 AM [vite] (client) page reload index.html
9:47:21 AM [vite] (client) page reload index.html
9:47:21 AM [vite] (client) page reload index.html
9:47:27 AM [vite] (client) page reload index.html
9:47:27 AM [vite] (client) page reload index.html
9:47:33 AM [vite] (client) page reload index.html
9:47:33 AM [vite] (client) page reload index.html
9:47:39 AM [vite] (client) page reload index.html
9:47:39 AM [vite] (client) page reload index.html
9:47:45 AM [vite] (client) page reload index.html
9:47:45 AM [vite] (client) page reload index.html
9:47:51 AM [vite] (client) page reload index.html
9:47:52 AM [vite] (client) page reload index.html
9:47:58 AM [vite] (client) page reload index.html
9:47:58 AM [vite] (client) page reload index.html
9:48:04 AM [vite] (client) page reload index.html
9:48:04 AM [vite] (client) page reload index.html
9:48:10 AM [vite] (client) page reload index.html
9:48:10 AM [vite] (client) page reload index.html
9:48:16 AM [vite] (client) page reload index.html
9:48:16 AM [vite] (client) page reload index.html
9:48:22 AM [vite] (client) page reload index.html
9:48:22 AM [vite] (client) page reload index.html
